Time,APM 5 CPU,APM 5 Memory
5,39.0,8.5
10,36.1,8.5
15,41.3,8.5
20,43.4,9.1
25,42.9,9.1
30,43.8,9.2
35,44.5,9.2
40,41.3,0.0
45,36.4,0.0
50,32.6,0.0
55,29.5,0.0
60,27.3,0.0
65,25.1,0.0
70,23.5,0.0
75,21.8,0.0
80,20.6,0.0
85,19.5,0.0
90,18.6,0.0
95,17.5,0.0
100,16.7,0.0
105,16.0,0.0
110,15.3,6.4
115,16.6,6.4
120,17.9,6.4
125,19.1,6.4
130,20.0,6.4
135,21.0,6.4
140,21.8,6.4
145,22.3,0.0
150,21.6,0.0
155,21.0,0.0
160,20.3,0.0
165,19.6,0.0
170,19.1,0.0
175,18.7,0.0
180,18.1,0.0
185,17.7,0.0
190,17.2,0.0
195,16.7,0.0
200,16.3,0.0
205,16.3,6.1
210,17.0,6.1
215,17.7,6.1
220,18.3,6.1
225,18.9,6.1
230,19.5,6.1
235,19.3,0.0
240,18.8,0.0
245,18.5,0.0
250,18.1,0.0
255,17.8,0.0
260,17.5,0.0
265,17.1,0.0
270,16.9,0.0
275,16.5,0.0
280,16.3,0.0
285,16.0,0.0
290,15.8,0.0
295,15.5,0.0
300,15.9,7.6
305,16.4,7.6
310,16.8,7.6
315,17.3,7.6
320,17.7,7.6
325,17.6,0.0
330,17.3,0.0
335,17.1,0.0
340,16.9,0.0
345,16.6,0.0
350,16.4,0.0
355,16.2,0.0
360,16.0,0.0
365,15.8,0.0
370,15.6,0.0
375,15.4,0.0
380,15.7,9.2
385,16.1,9.2
390,16.5,9.2
395,16.9,9.2
400,17.2,9.2
405,17.1,0.0
410,16.8,0.0
415,16.6,0.0
420,16.4,0.0
425,16.2,0.0
430,16.0,0.0
435,15.8,0.0
440,15.7,0.0
445,15.5,0.0
450,15.4,0.0
455,15.2,0.0
460,15.1,0.0
465,14.9,9.6
470,15.2,9.6
475,15.5,9.6
480,15.9,9.6
485,16.2,9.6
490,16.4,0.0
495,16.2,0.0
500,16.1,0.0
505,15.9,0.0
510,15.8,0.0
515,15.6,0.0
520,15.5,0.0
525,15.3,0.0
530,15.2,0.0
535,15.1,0.0
540,14.9,0.0
545,14.8,0.0
550,14.7,0.0
555,14.5,0.0
560,14.4,6.5
565,14.7,6.5
570,15.0,6.5
575,15.2,6.5
580,15.5,6.5
585,15.7,0.0
590,15.6,0.0
595,15.4,0.0
600,15.3,0.0
605,15.2,0.0
610,15.1,0.0
615,15.0,0.0
620,14.9,0.0
625,14.7,0.0
630,14.6,0.0
635,14.5,0.0
640,14.4,0.0
645,14.3,0.0
650,14.2,0.0
655,14.1,4.0
660,14.3,8.5
665,14.6,8.5
670,14.8,8.5
675,15.0,8.5
680,15.2,8.5
685,15.4,0.0
690,15.3,0.0
695,15.2,0.0
700,15.1,0.0
705,15.0,0.0
710,14.9,0.0
715,14.8,0.0
720,14.7,0.0
725,14.6,0.0
730,14.5,0.0
735,14.4,0.0
740,14.3,0.0
745,14.2,7.5
750,14.3,7.5
755,14.4,7.5
760,14.5,7.5
765,14.7,7.5
770,14.8,7.5
775,14.8,0.0
780,14.7,0.0
785,14.6,0.0
790,14.5,0.0
795,14.4,0.0
800,14.3,0.0
805,14.2,0.0
810,14.2,0.0
815,14.1,0.0
820,14.0,0.0
825,13.9,0.0
830,13.8,0.0
835,13.7,8.1
840,13.9,8.1
845,14.0,8.1
850,14.1,8.1
855,14.2,8.1
860,14.3,8.1
865,14.2,0.0
870,14.1,0.0
875,14.1,0.0
880,14.0,0.0
885,13.9,0.0
890,13.8,0.0
895,13.7,0.0
900,13.7,0.0
