Time,APM 3 CPU,APM 3 Memory
5,26.0,0.0
10,39.5,0.0
15,40.4,0.0
20,42.8,0.0
25,44.0,0.0
30,43.4,0.0
35,44.2,0.0
40,47.5,0.0
45,52.3,0.0
50,56.1,0.0
55,60.0,0.0
60,62.1,0.0
65,62.3,0.0
70,58.4,0.0
75,54.9,0.0
80,51.3,0.0
85,48.6,0.0
90,46.1,0.0
95,43.5,0.0
100,41.5,0.0
105,39.8,0.0
110,41.5,0.0
115,41.4,0.0
120,41.6,0.0
125,41.6,0.0
130,41.7,0.0
135,41.6,0.0
140,41.8,0.0
145,41.8,0.0
150,43.5,0.0
155,44.9,0.0
160,44.5,0.0
165,43.3,0.0
170,42.0,0.0
175,41.0,0.0
180,39.8,0.0
185,38.8,0.0
190,38.1,0.0
195,39.3,0.0
200,40.4,0.0
205,41.3,0.0
210,41.4,0.0
215,41.3,0.0
220,41.4,0.0
225,41.3,0.0
230,41.5,0.0
235,42.2,0.0
240,43.1,0.0
245,43.5,0.0
250,42.6,0.0
255,41.8,0.0
260,41.2,0.0
265,40.3,0.0
270,39.7,0.0
275,39.1,0.0
280,38.4,0.0
285,37.8,0.0
290,38.4,0.0
295,39.1,0.0
300,39.3,0.0
305,39.4,0.0
310,39.4,0.0
315,39.4,0.0
320,39.5,0.0
325,39.9,0.0
330,40.6,0.0
335,41.3,0.0
340,41.9,0.0
345,41.4,0.0
350,40.8,0.0
355,40.3,0.0
360,39.8,0.0
365,39.2,0.0
370,38.8,0.0
375,38.3,0.0
380,37.9,0.0
385,38.0,0.0
390,38.1,0.0
395,38.1,0.0
400,38.2,0.0
405,38.6,0.0
410,39.1,0.0
415,39.6,0.0
420,40.0,0.0
425,40.5,0.0
430,41.0,0.0
435,40.6,0.0
440,40.3,0.0
445,39.9,0.0
450,39.4,0.0
455,39.0,0.0
460,38.7,0.0
465,39.1,0.0
470,39.1,0.0
475,39.2,0.0
480,39.2,0.0
485,39.2,0.0
490,39.3,0.0
495,39.8,0.0
500,40.3,0.0
505,40.7,0.0
510,41.1,0.0
515,41.6,0.0
520,42.0,0.0
525,41.7,0.0
530,41.3,0.0
535,41.0,0.0
540,40.7,0.0
545,40.3,0.0
550,40.0,0.0
555,40.0,0.0
560,40.4,0.0
565,40.4,0.0
570,40.4,0.0
575,40.5,0.0
580,40.5,0.0
585,40.5,0.0
590,40.8,0.0
595,41.2,0.0
600,41.5,0.0
605,41.5,0.0
610,41.1,0.0
615,40.8,0.0
620,40.6,0.0
625,40.2,0.0
630,39.9,0.0
635,39.7,0.0
640,39.9,0.0
645,40.2,0.0
650,40.6,0.0
655,40.9,0.0
660,40.9,0.0
665,40.9,0.0
670,40.9,0.0
675,40.9,0.0
680,40.9,0.0
685,40.9,0.0
690,41.3,0.0
695,41.6,0.0
700,41.5,0.0
705,41.2,0.0
710,41.0,0.0
715,40.7,0.0
720,40.4,0.0
725,40.2,0.0
730,39.9,0.0
735,39.6,0.0
740,39.6,0.0
745,39.6,0.0
750,39.5,0.0
755,39.4,0.0
760,39.3,0.0
765,39.2,0.0
770,39.2,0.0
775,39.2,0.0
780,39.2,0.0
785,39.2,0.0
790,39.2,0.0
795,39.0,0.0
800,38.8,0.0
805,38.6,0.0
810,38.3,0.0
815,38.1,0.0
820,38.0,0.0
825,38.0,0.0
830,38.1,0.0
835,38.1,0.0
840,38.1,0.0
845,38.0,0.0
850,37.9,0.0
855,37.9,0.0
860,37.8,0.0
865,37.9,0.0
870,37.7,0.0
875,37.5,0.0
880,37.3,0.0
885,37.1,0.0
890,36.9,0.0
895,36.7,0.0
900,36.8,0.0
