Time,APM 4 CPU,APM 4 Memory
5,10.0,0.0
10,1.4,0.0
15,0.7,0.0
20,0.5,0.0
25,0.3,0.0
30,0.3,0.0
35,0.2,0.0
40,0.2,0.0
45,0.1,0.0
50,0.1,0.0
55,0.2,0.0
60,0.4,0.0
65,0.5,0.0
70,0.7,0.0
75,0.8,0.0
80,0.9,0.0
85,1.0,0.0
90,1.0,0.0
95,1.1,0.0
100,1.2,0.0
105,1.2,0.0
110,1.3,0.0
115,1.3,0.0
120,1.4,0.0
125,1.4,0.0
130,1.5,0.0
135,1.5,0.0
140,1.6,0.0
145,1.6,0.0
150,1.6,0.0
155,1.6,0.0
160,1.7,0.0
165,1.7,0.0
170,1.7,0.0
175,1.8,0.0
180,1.8,0.0
185,1.8,0.0
190,1.8,0.0
195,1.8,0.0
200,1.8,0.0
205,1.9,0.0
210,1.9,0.0
215,1.9,0.0
220,1.9,0.0
225,1.9,0.0
230,1.9,0.0
235,1.9,0.0
240,1.9,0.0
245,2.0,0.0
250,2.0,0.0
255,2.0,0.0
260,2.0,0.0
265,2.0,0.0
270,2.0,0.0
275,2.0,0.0
280,2.0,0.0
285,2.0,0.0
290,2.0,0.0
295,2.1,0.0
300,2.1,0.0
305,2.1,0.0
310,2.1,0.0
315,2.1,0.0
320,2.1,0.0
325,2.1,0.0
330,2.1,0.0
335,2.1,0.0
340,2.1,0.0
345,2.1,0.0
350,2.1,0.0
355,2.1,0.0
360,2.1,0.0
365,2.1,0.0
370,2.1,0.0
375,2.1,0.0
380,2.1,0.0
385,2.1,0.0
390,2.2,0.0
395,2.2,0.0
400,2.2,0.0
405,2.2,0.0
410,2.2,0.0
415,2.2,0.0
420,2.2,0.0
425,2.2,0.0
430,2.2,0.0
435,2.2,0.0
440,2.2,0.0
445,2.2,0.0
450,2.2,0.0
455,2.2,0.0
460,2.2,0.0
465,2.2,0.0
470,2.2,0.0
475,2.2,0.0
480,2.2,0.0
485,2.2,0.0
490,2.2,0.0
495,2.2,0.0
500,2.2,0.0
505,2.2,0.0
510,2.2,0.0
515,2.2,0.0
520,2.2,0.0
525,2.2,0.0
530,2.2,0.0
535,2.2,0.0
540,2.2,0.0
545,2.2,0.0
550,2.2,0.0
555,2.2,0.0
560,2.2,0.0
565,2.2,0.0
570,2.2,0.0
575,2.2,0.0
580,2.2,0.0
585,2.3,0.0
590,2.3,0.0
595,2.3,0.0
600,2.3,0.0
605,2.3,0.0
610,2.3,0.0
615,2.3,0.0
620,2.3,0.0
625,2.3,0.0
630,2.3,0.0
635,2.3,0.0
640,2.3,0.0
645,2.3,0.0
650,2.3,0.0
655,2.3,0.0
660,2.3,0.0
665,2.3,0.0
670,2.3,0.0
675,2.3,0.0
680,2.3,0.0
685,2.3,0.0
690,2.3,0.0
695,2.3,0.0
700,2.3,0.0
705,2.3,0.0
710,2.3,0.0
715,2.3,0.0
720,2.4,0.0
725,3.0,0.0
730,3.5,0.0
735,4.1,0.0
740,4.5,0.0
745,4.7,0.0
750,4.9,0.0
755,5.1,0.0
760,5.3,0.0
765,5.5,0.0
770,5.7,0.0
775,5.9,0.0
780,6.1,0.0
785,6.4,0.0
790,6.7,0.0
795,7.2,0.0
800,7.7,0.0
805,8.2,0.0
810,8.7,0.0
815,9.2,0.0
820,9.6,0.0
825,9.8,0.0
830,10.0,0.0
835,10.3,0.0
840,10.4,0.0
845,10.6,0.0
850,10.7,0.0
855,10.8,0.0
860,10.9,0.0
865,11.2,0.0
870,11.6,0.0
875,12.0,0.0
880,12.4,0.0
885,12.9,0.0
890,13.3,0.0
895,13.7,0.0
900,13.9,0.0
